,stock,463d-daily-flow,463-day-flow,463-day-sf
24.06.2020,18413787.5,1760.4211663066956,815075.0,22.59152531975585
25.06.2020,18414668.75,1757.9778617710583,813943.75,22.624006572935784
26.06.2020,18415693.75,1756.3309935205184,813181.25,22.646481027446217
27.06.2020,18416556.25,1753.847192224622,812031.25,22.679615162593805
28.06.2020,18417493.75,1751.9573434125268,811156.25,22.70523558192395
29.06.2020,18418400.0,1749.8650107991361,810187.5,22.73350304713415
30.06.2020,18419318.75,1747.8536717062634,809256.25,22.760798881689205
01.07.2020,18420331.25,1746.4227861771058,808593.75,22.780699516908214
02.07.2020,18421356.25,1744.6139308855293,807756.25,22.80558800999683
03.07.2020,18422375.0,1742.8725701943845,806950.0,22.829636284776008
04.07.2020,18423356.25,1741.0232181425486,806093.75,22.855103702267883
05.07.2020,18424375.0,1739.4708423326133,805375.0,22.876765481918362
06.07.2020,18425337.5,1737.7969762419007,804600.0,22.89999689286602
07.07.2020,18426343.75,1736.298596112311,803906.25,22.921010689990283
08.07.2020,18427287.5,1734.098272138229,802887.5,22.951269636156997
09.07.2020,18428312.5,1732.4784017278619,802137.5,22.974006950179987
10.07.2020,18429318.75,1730.872030237581,801393.75,22.99658407617978
11.07.2020,18430293.75,1728.7122030237579,800393.75,23.02653381538774
12.07.2020,18431243.75,1727.0113390928727,799606.25,23.05039980615459
13.07.2020,18432162.5,1725.1889848812093,798762.5,23.075898655733088
14.07.2020,18433062.5,1723.1371490280776,797812.5,23.104504504504504
15.07.2020,18433925.0,1721.4362850971925,797025.0,23.128415043442804
16.07.2020,18434775.0,1719.2764578833694,796025.0,23.158537734367638
17.07.2020,18435512.5,1716.6306695464364,794800.0,23.195159159536992
18.07.2020,18436325.0,1714.308855291577,793725.0,23.227597719613215
19.07.2020,18437143.75,1712.4325053995678,792856.25,23.254081367208748
20.07.2020,18438025.0,1711.0421166306696,792212.5,23.274089969547312
